user_id,experiment_group,conversion,revenue,date,device,country,age,session_duration,empty_column
user_07520,treatment,2.0,189.56,09/09/2024,tablet,India,64.0,585,
user_00520,treatment,1.0,101.42,10/09/2024,desktop,USA,36.0,550,
user_00179,control,1.0,131.06,26-11-2024,mobile,India,48.0,91,
user_01077,treatment,0.0,194.76,29-06-2024,desktop,India,65.0,384,
user_04274,treatment ,2.0,23.68,12/20/2024,tablet,United States,23.0,233,
user_02016,control,1.0,16.69,2024-05-07,desktop,US,62.0,164,
user_04752,control,0.0,123.97,10-11-2024,desktop,US,25.0,503,
user_01228,control,2.0,20.63,2024-12-02,desktop,United States,,0,
user_05532,control,0.0,155.45,04-04-2024,Android,US,44.0,249,
user_01498,TRT,1.0,31.96,2024-01-25,iPhone,IN,29.0,119,
user_06629,treatment ,1.0,$170.83,08-02-2024,iPhone,US,61.0,-96,
user_07254,control,0.0,131.38,2024-10-20,desktop,United Kingdom,49.0,-42,
user_06141,control,1.0,169.25,01/04/2024,tablet,IN,21.0,109,
user_07649,treatment,1.0,149.8,2024-02-01,Android,US,50.0,567,
user_08525,control,1.0,85.74,22-05-2024,mobile,USA,59.0,-66,
user_04058,Control,0.0,88.71,2024-10-24,mobile,United States,55.0,576,
user_08169,control,0.0,152.2,16-10-2024,desktop,UK,18.0,204,
user_03364,treatment,0.0,69.88,30-12-2024,mobile,UK,61.0,276,
user_08806,control,2.0,83.69,2024-10-06,mobile,United Kingdom,40.0,177,
user_05278,control,1.0,161.96,03-04-2024,desktop,USA,49.0,-21,
user_03463,control,1.0,33.11,12/30/2024,desktop,United States,60.0,428,
user_01467,treatment,1.0,69.31,18-01-2024,tablet,USA,10.0,374,
user_01027,control,1.0,112.3,01/20/2024,mobile,United States,57.0,542,
user_06248,control,0.0,,10/02/2024,mobile,USA,,0,
user_07268,TRT,0.0,128.57,01-11-2024,Android,US,58.0,108,
user_08709,treatment,1.0,17.11,05/31/2024,mobile,USA,19.0,30,
user_08153,treatment,,106.04,05/24/2024,tablet,India,39.0,348,
user_00889,treatment,1.0,,06-03-2024,tablet,USA,63.0,384,
user_00490,control,1.0,157.62,02-04-2024,Android,US,52.0,389,
user_07324,control,0.0,44.95,07/29/2024,Android,USA,25.0,-78,
user_02175,treatment ,1.0,55.34,01/04/2024,desktop,USA,22.0,136,
user_01371,control,0.0,-71.96,2024-03-31,Mobile,UK,28.0,0,
user_06742,control,,140.87,2024-11-27,tablet,USA,22.0,494,
user_02011,control,0.0,186.37,22-07-2024,tablet,US,55.0,319,
user_00010,control,0.0,84.66,10/04/2024,Mobile,United Kingdom,44.0,273,
user_03041,treatment,,133.39,02/25/2024,mobile,United States,61.0,327,
user_05321,control,1.0,17.23,01/02/2024,desktop,United States,29.0,-68,
user_05757,test,0.0,171.47,2024-01-29,Android,USA,59.0,470,
user_03835,treatment,1.0,187.3,24-07-2024,desktop,United Kingdom,21.0,339,
user_00389,control,1.0,120.26,07/07/2024,mobile,United Kingdom,46.0,492,
user_00264,Control,0.0,18502.28,10-03-2024,tablet,US,50.0,206,
user_00466,control,0.0,183.17,02/07/2024,tablet,UK,21.0,114,
user_05053,control,0.0,100.57,2024-08-03,desktop,India,46.0,591,
user_00925,control,1.0,96.21,31-12-2024,Android,UK,42.0,113,
user_08058,control,0.0,91.92,01-08-2024,desktop,United Kingdom,63.0,112,
user_00638,control,1.0,97.77,10-01-2024,Desktop,United States,19.0,501,
user_03924,control,1.0,25.88,02/18/2024,Desktop,US,50.0,0,
user_07090,treatment,1.0,109.98,02-01-2024,mobile,USA,48.0,-31,
user_00152,control,1.0,186.52,26-01-2024,tablet,US,65.0,434,
user_07498,control,0.0,199.69,23-04-2024,desktop,United States,56.0,509,
user_00672,control,1.0,169.46,12/05/2024,Android,United Kingdom,59.0,0,
user_00615,treatment,0.0,14528.96,2024-07-05,desktop,US,28.0,119,
user_00428,treatment,1.0,18.55,08/06/2024,Mobile,US,19.0,145,
user_02316,treatment,1.0,-64.88,2024-02-05,mobile,US,28.0,-66,
user_02756,control,1.0,161.42,09-10-2024,desktop,USA,34.0,0,
user_03003,control,1.0,141.2,02-01-2024,mobile,UK,26.0,198,
user_07811,treatment,0.0,194.42,28-04-2024,desktop,US,57.0,108,
user_00305,control,0.0,"902,20",2024-05-28,desktop,US,65.0,35,
user_05719,control,1.0,162.85,2024-02-02,tablet,UK,52.0,411,
user_01382,treatment,0.0,106.06,2024-02-25,desktop,USA,29.0,222,
user_05528,treatment,1.0,,01-09-2024,Desktop,United Kingdom,56.0,574,
user_05382,control,1.0,101.87,09/30/2024,tablet,India,23.0,-38,
user_00893, control,0.0,11.34,15-01-2024,tablet ,India,36.0,-69,
user_04601,control,0.0,,2024-10-28,desktop,USA,42.0,-66,
user_04279, control,0.0,187.81,2024-08-24,Mobile ,US,30.0,184,
user_03721,control,,77.05,11/18/2024,tablet,US,53.0,126,
user_00134,treatment,0.0,166.85,28-05-2024,Mobile,IN,,265,
user_07185,treatment,,23.63,02/24/2024,Desktop,United Kingdom,32.0,282,
user_00280,treatment,2.0,192.83,08-07-2024,iPhone,United States,29.0,427,
user_05009,treatment,1.0,30.11,20-09-2024,mobile,US,44.0,380,
user_05161,TRT,1.0,,2024-05-31,Desktop,US,42.0,102,
user_03933,control,0.0,31982.98,2024-12-27,mobile,UK,32.0,465,
user_06361,control,1.0,92.46,16-05-2024,Mobile,US,29.0,176,
user_04082,treatment,1.0,-17.75,01/12/2024,Mobile,United Kingdom,53.0,55,
user_00266,control,0.0,190.53,2024-01-31,desktop,India,41.0,179,
user_07248,treatment,,136.22,11/16/2024,iPhone,United Kingdom,51.0,-57,
user_08901,treatment,0.0,131.71,10/26/2024,desktop,USA,28.0,182,
user_05705,test,0.0,137.93,08/12/2024,tablet,India,60.0,493,
user_03160,control,0.0,12.26,2024-10-10,Android,US,61.0,595,
