user_id,experiment_group,conversion,revenue,session_duration,device,country,age
user_00556,control,0,23.34,263.3,desktop,UK,62
user_03492,treatment,0,60.01,229.0,desktop,India,65
user_00528,control,0,39.37,286.1,desktop,UK,45
user_03926,treatment,0,49.35,265.1,mobile,India,30
user_02990,treatment,1,211.41,303.1,mobile,India,25
user_00071,control,0,59.74,256.4,desktop,UK,36
user_01757,control,1,136.4,243.9,desktop,UK,19
user_00212,control,0,51.64,229.8,desktop,India,51
user_00197,control,0,42.58,302.4,mobile,India,68
user_00804,control,0,73.63,315.5,mobile,UK,28
user_03410,treatment,0,55.08,222.6,tablet,UK,32
user_03837,treatment,1,198.46,250.7,mobile,India,26
user_01147,control,0,33.66,283.3,mobile,India,57
user_01499,control,0,46.06,235.8,mobile,US,37
user_03859,treatment,0,57.06,290.2,mobile,UK,23
user_03483,treatment,0,43.76,258.4,mobile,India,29
user_01186,control,1,251.26,196.8,mobile,US,54
user_00472,control,1,168.36,265.8,mobile,India,27
user_00595,control,0,65.66,282.4,mobile,US,30
user_00322,control,0,67.33,235.9,desktop,US,42
user_01418,control,0,47.23,266.2,mobile,UK,60
user_01675,control,0,57.35,230.5,mobile,India,53
user_03591,treatment,1,204.69,272.3,mobile,India,59
user_01704,control,0,39.67,255.4,mobile,India,19
user_02541,treatment,0,56.19,280.1,tablet,US,64
user_00206,control,0,33.06,227.8,desktop,UK,63
user_03888,treatment,0,50.56,304.3,mobile,UK,67
user_03249,treatment,1,225.89,279.8,desktop,UK,33
user_02132,treatment,0,68.88,332.3,desktop,UK,51
user_01256,control,0,18.77,260.4,mobile,US,61
user_02300,treatment,0,54.03,231.9,mobile,UK,55
user_01227,control,0,42.41,254.9,mobile,US,65
user_03919,treatment,0,67.51,260.4,desktop,India,35
user_02465,treatment,0,45.75,304.2,desktop,India,54
user_02384,treatment,0,78.37,279.9,desktop,US,39
user_00150,control,0,54.52,307.5,mobile,UK,42
user_00870,control,1,187.01,252.4,desktop,India,34
user_01979,control,0,55.99,242.3,desktop,UK,34
user_02457,treatment,0,51.11,262.9,desktop,UK,40
user_03866,treatment,0,57.91,288.3,desktop,US,35
user_02213,treatment,0,41.97,322.8,mobile,US,45
user_01007,control,0,44.59,179.3,desktop,UK,24
user_03048,treatment,0,77.28,311.6,desktop,US,27
user_00706,control,1,189.22,224.3,mobile,US,58
user_03144,treatment,0,39.49,268.5,mobile,UK,57
user_03597,treatment,0,33.23,155.8,mobile,UK,21
user_01988,control,0,51.54,181.8,mobile,UK,20
user_00180,control,0,48.14,180.5,mobile,India,65
user_00110,control,0,45.27,253.1,tablet,US,64
user_03079,treatment,0,49.61,274.4,mobile,India,54
user_01056,control,0,26.76,210.9,desktop,UK,19
user_03953,treatment,1,181.03,290.3,mobile,India,51
user_00315,control,0,50.65,200.5,desktop,India,46
user_01823,control,0,35.03,237.7,desktop,UK,27
user_00568,control,0,57.28,192.7,mobile,India,43
user_00880,control,0,47.23,193.9,desktop,US,57
user_02231,treatment,0,40.87,372.5,desktop,India,64
user_01412,control,0,50.18,181.1,tablet,UK,50
user_03225,treatment,0,51.06,315.0,mobile,UK,42
user_03937,treatment,0,65.94,273.9,mobile,US,30
user_03250,treatment,0,61.33,208.4,mobile,US,21
user_00930,control,0,51.0,239.3,mobile,US,21
user_02579,treatment,0,64.74,234.8,mobile,US,22
user_03380,treatment,0,66.2,289.5,mobile,US,65
user_02293,treatment,0,51.98,223.6,mobile,US,66
user_01503,control,0,68.52,342.2,mobile,India,37
