user_id,experiment_group,conversion,revenue,session_duration,device,country,age
user_00204,treatment,0,65.15,311.1,tablet,US,55
user_00267,treatment,0,115.8,158.9,tablet,UK,64
user_00153,treatment,0,161.02,224.0,desktop,US,28
user_00010,control,0,112.51,221.0,desktop,UK,23
user_00234,treatment,0,115.45,294.6,desktop,UK,45
user_00227,treatment,0,151.56,289.4,desktop,India,40
user_00197,treatment,0,113.8,258.2,tablet,US,44
user_00110,control,1,102.33,286.1,tablet,UK,65
user_00006,control,0,94.64,236.3,tablet,UK,64
user_00176,treatment,0,67.1,268.6,tablet,US,37
user_00238,treatment,0,96.09,315.4,tablet,UK,57
user_00058,control,1,50.95,269.6,desktop,UK,56
user_00219,treatment,0,117.72,274.4,mobile,India,40
user_00046,control,0,107.03,303.7,tablet,US,53
user_00183,treatment,0,119.47,257.4,mobile,US,61
user_00222,treatment,0,93.93,308.2,tablet,India,47
user_00290,treatment,0,98.87,206.6,tablet,India,61
user_00212,treatment,0,120.9,296.7,tablet,UK,29
user_00149,control,0,96.71,197.5,mobile,US,29
user_00166,treatment,0,113.95,231.0,desktop,UK,62
user_00079,control,0,105.69,135.0,mobile,India,57
user_00114,control,0,80.49,265.1,mobile,India,48
user_00250,treatment,1,95.82,245.7,mobile,UK,41
user_00251,treatment,0,98.94,239.3,desktop,UK,56
user_00105,control,1,108.84,331.5,tablet,India,46
user_00043,control,0,60.06,223.4,mobile,India,24
user_00282,treatment,0,120.1,278.3,desktop,India,53
user_00296,treatment,0,76.94,240.1,desktop,India,61
user_00158,treatment,0,111.8,241.4,mobile,US,67
user_00239,treatment,0,122.53,250.3,desktop,US,35
user_00018,control,0,86.4,227.8,desktop,UK,50
user_00165,treatment,0,59.59,221.3,mobile,UK,44
user_00034,control,0,73.26,218.3,mobile,UK,53
user_00025,control,0,90.74,263.6,mobile,US,48
user_00216,treatment,0,101.22,199.8,mobile,US,35
user_00120,control,0,104.92,273.2,desktop,UK,69
user_00008,control,0,75.99,161.8,mobile,US,19
user_00091,control,0,3.59,207.4,mobile,US,46
user_00047,control,0,98.51,223.5,tablet,UK,44
user_00074,control,0,75.91,145.4,tablet,UK,46
user_00094,control,0,114.73,208.7,mobile,UK,67
user_00077,control,1,137.98,245.3,tablet,UK,51
user_00287,treatment,0,110.65,332.5,tablet,India,29
user_00061,control,0,139.2,319.6,mobile,US,62
user_00078,control,0,118.25,223.3,mobile,UK,24
user_00064,control,0,63.93,259.3,mobile,US,59
user_00235,treatment,0,145.24,221.4,mobile,UK,32
user_00230,treatment,0,103.71,266.3,desktop,India,53
user_00112,control,1,100.1,265.5,mobile,US,67
user_00232,treatment,0,124.62,216.6,desktop,India,20
user_00181,treatment,0,100.89,296.5,mobile,US,25
user_00145,control,0,102.7,246.7,tablet,UK,48
user_00240,treatment,0,115.87,181.8,desktop,US,48
user_00076,control,0,95.47,272.2,mobile,US,63
user_00298,treatment,0,119.29,199.6,desktop,US,49
user_00279,treatment,0,119.97,224.7,tablet,UK,53
user_00098,control,0,87.38,270.5,desktop,US,33
