user_id,experiment_group,conversion,revenue,session_duration,device,country,age
user_01802,control,1,69.19,142.0,mobile,US,58
user_01191,control,0,63.33,233.2,mobile,UK,33
user_01818,control,0,100.29,212.4,mobile,UK,42
user_00252,control,0,58.85,309.5,mobile,US,19
user_02405,treatment,0,97.24,182.4,desktop,UK,57
user_01118,control,0,113.57,260.5,mobile,UK,36
user_01412,control,0,94.53,213.7,mobile,US,57
user_02114,control,0,97.7,259.1,mobile,US,53
user_00409,control,0,102.02,225.2,desktop,US,34
user_02479,treatment,0,103.98,250.8,desktop,UK,66
user_02154,treatment,0,160.71,238.6,mobile,UK,35
user_00053,control,0,137.11,188.5,mobile,UK,50
user_00645,control,0,134.18,268.6,desktop,UK,56
user_01764,control,1,99.76,234.0,desktop,US,28
user_02676,treatment,0,161.84,274.8,mobile,US,37
user_00901,control,0,43.83,221.8,mobile,US,23
user_01074,control,0,94.48,284.9,desktop,UK,50
user_00473,control,0,58.59,190.7,desktop,US,54
user_02638,treatment,0,136.84,238.8,desktop,UK,22
user_02446,treatment,1,86.54,234.4,mobile,US,64
user_00045,control,0,16.38,232.0,desktop,US,60
user_00290,control,0,67.15,258.3,mobile,UK,66
user_00913,control,1,73.19,249.6,desktop,US,20
user_02084,control,0,76.82,287.6,desktop,UK,51
user_01361,control,0,128.01,260.9,desktop,US,61
user_02795,treatment,0,84.1,298.1,mobile,US,62
user_02503,treatment,1,120.57,253.4,mobile,UK,25
user_01227,control,0,74.37,316.5,mobile,US,25
user_00297,control,0,75.64,303.4,mobile,UK,64
user_01242,control,0,118.12,214.9,mobile,UK,49
user_01006,control,0,72.42,263.1,mobile,US,30
user_01666,control,0,47.03,229.5,mobile,US,33
user_00747,control,0,116.56,262.0,mobile,US,64
user_02751,treatment,0,65.13,254.7,desktop,UK,33
user_00292,control,0,97.15,189.2,mobile,UK,68
user_00782,control,0,109.65,299.9,desktop,US,52
user_02145,control,1,52.5,149.6,desktop,US,59
user_00323,control,0,119.86,223.0,mobile,US,54
user_00299,control,0,81.45,212.8,mobile,US,28
user_01299,control,0,80.77,179.7,mobile,US,68
user_00195,control,0,61.86,260.0,desktop,US,28
user_00064,control,0,81.67,212.4,mobile,US,42
user_00394,control,0,98.76,170.9,mobile,US,44
user_00728,control,0,113.5,172.6,desktop,UK,35
user_01584,control,0,107.56,226.9,mobile,UK,64
user_01548,control,1,161.57,261.7,desktop,US,31
user_02325,treatment,0,115.06,324.8,mobile,UK,45
user_00015,control,0,149.13,259.1,mobile,UK,57
user_02467,treatment,0,85.96,244.4,desktop,US,27
user_01601,control,0,95.09,270.6,desktop,US,62
user_01091,control,0,98.98,219.6,desktop,US,59
user_02112,control,0,29.82,237.7,mobile,US,44
user_00204,control,0,99.32,186.6,mobile,US,29
user_02318,treatment,0,137.76,308.7,mobile,US,61
user_00153,control,0,111.65,233.4,mobile,US,69
user_02801,treatment,0,95.91,339.3,mobile,UK,26
user_01360,control,0,102.13,234.7,desktop,US,23
user_00773,control,0,65.62,291.9,mobile,UK,37
user_02578,treatment,0,111.09,304.9,mobile,UK,35
user_01002,control,0,95.98,225.5,mobile,US,26
user_00719,control,0,60.18,163.5,desktop,UK,18
user_00613,control,0,134.92,283.7,mobile,UK,38
user_00843,control,0,130.08,256.6,mobile,UK,46
user_00267,control,0,109.2,278.7,mobile,UK,67
user_00052,control,0,65.0,309.1,desktop,UK,50
user_01196,control,0,57.22,196.4,desktop,US,45
user_01271,control,0,67.69,226.6,desktop,US,23
user_01492,control,0,80.09,166.2,mobile,UK,33
user_01583,control,0,134.85,230.2,mobile,US,52
user_00522,control,0,88.87,248.9,mobile,US,18
user_01695,control,0,107.32,224.6,mobile,UK,44
user_02563,treatment,1,89.08,320.5,mobile,UK,35
user_02648,treatment,0,83.29,287.5,mobile,UK,59
user_01922,control,0,75.98,222.8,desktop,US,28
user_00103,control,0,71.71,198.2,mobile,US,63
user_00696,control,0,100.37,233.4,mobile,UK,31
user_02232,treatment,0,68.41,323.4,mobile,UK,32
user_02624,treatment,0,120.82,225.9,mobile,US,52
user_02172,treatment,0,67.7,264.8,mobile,UK,39
user_02382,treatment,0,147.73,272.6,mobile,UK,43
user_01843,control,0,81.52,264.6,desktop,UK,19
user_01831,control,0,137.84,230.5,desktop,UK,55
user_00795,control,0,82.96,213.4,desktop,UK,53
user_01821,control,0,64.83,176.4,desktop,UK,55
user_02002,control,0,109.51,239.8,desktop,US,48
user_00145,control,0,76.7,270.0,desktop,UK,19
user_02425,treatment,0,77.4,222.4,desktop,US,43
user_01331,control,1,136.94,284.5,desktop,US,25
user_02377,treatment,0,85.3,318.3,mobile,US,44
user_02781,treatment,0,129.89,238.1,desktop,UK,63
user_00322,control,1,89.46,242.0,desktop,US,45
user_01262,control,0,115.97,278.0,desktop,US,19
user_02314,treatment,0,100.35,310.9,mobile,US,53
user_01270,control,0,128.53,172.1,desktop,UK,63
user_01761,control,0,131.82,229.5,desktop,UK,24
user_00417,control,0,97.56,227.6,desktop,US,54
user_02531,treatment,0,100.81,247.0,mobile,US,32
user_02191,treatment,0,114.14,283.7,mobile,UK,37
user_00175,control,0,76.19,171.7,mobile,US,44
user_01726,control,0,69.85,158.0,mobile,UK,23
user_02176,control,0,103.52,282.6,desktop,US,59
user_00046,control,0,94.03,275.6,desktop,US,35
user_00686,control,1,87.55,294.1,mobile,UK,49
user_01608,control,0,120.61,216.6,mobile,US,24
user_01232,control,0,53.47,199.6,desktop,US,67
user_00863,control,0,88.13,269.2,mobile,UK,25
user_01966,control,0,88.28,223.7,mobile,UK,66
user_00332,control,1,85.64,263.1,desktop,UK,38
user_00094,control,0,137.88,237.9,desktop,UK,33
user_01642,control,0,92.61,290.6,desktop,UK,31
user_02886,treatment,0,145.21,269.4,mobile,US,25
user_00507,control,0,79.07,168.0,mobile,US,61
user_02809,treatment,0,97.9,246.3,desktop,US,61
user_02046,control,1,104.23,222.0,desktop,US,23
user_00496,control,0,81.34,258.4,mobile,US,43
user_02133,control,0,72.2,225.6,mobile,US,50
user_00001,control,0,130.71,282.3,desktop,US,24
user_00315,control,0,134.57,294.6,mobile,US,46
user_01273,control,0,119.51,335.1,desktop,UK,27
user_01942,control,0,75.59,233.7,mobile,UK,53
user_02867,treatment,0,56.03,255.8,desktop,UK,62
user_01317,control,0,51.84,224.9,mobile,US,66
user_00756,control,0,102.44,243.1,desktop,UK,27
user_01771,control,1,27.39,233.3,mobile,US,35
user_01201,control,0,83.33,224.5,mobile,US,65
user_02175,control,1,68.62,224.8,mobile,US,46
user_01992,control,0,81.91,267.7,mobile,US,37
user_00880,control,0,98.19,221.0,mobile,US,66
user_00766,control,0,171.46,265.4,desktop,US,35
user_00928,control,0,133.07,197.8,mobile,UK,66
user_02277,treatment,0,116.42,305.4,mobile,US,33
user_01375,control,1,25.1,254.8,mobile,UK,55
user_01815,control,0,118.13,174.2,desktop,US,39
user_01799,control,0,139.76,181.0,mobile,US,32
user_00930,control,1,92.76,269.9,mobile,US,45
user_00437,control,1,152.25,211.5,desktop,US,56
user_00197,control,0,96.67,242.3,desktop,UK,41
user_01763,control,0,54.06,273.6,desktop,UK,69
user_01065,control,0,147.88,306.7,mobile,UK,45
user_02242,treatment,0,104.79,237.8,mobile,UK,61
user_02428,treatment,0,111.64,270.8,mobile,US,43
user_01269,control,0,129.11,258.4,desktop,UK,63
user_02223,treatment,0,106.22,309.3,desktop,UK,23
user_02679,treatment,0,128.14,340.3,mobile,US,42
user_02125,treatment,0,117.42,181.8,mobile,UK,21
user_00451,control,0,100.62,257.2,desktop,US,67
user_02165,control,0,142.08,270.2,desktop,US,49
user_02272,treatment,0,160.49,307.5,desktop,UK,46
user_02013,control,0,68.21,198.3,mobile,UK,24
user_00271,control,0,138.94,172.3,desktop,UK,65
user_01841,control,0,78.59,219.0,mobile,UK,36
user_02834,treatment,1,108.46,205.5,mobile,US,23
user_00979,control,0,133.14,243.9,mobile,UK,53
user_02167,control,0,119.54,247.1,desktop,US,37
user_00355,control,0,70.39,220.2,mobile,UK,61
user_01877,control,0,100.59,322.0,desktop,UK,29
user_00185,control,1,155.63,233.3,desktop,US,41
user_02644,treatment,0,123.32,209.7,desktop,UK,41
user_01615,control,0,106.86,241.0,desktop,UK,35
user_02659,treatment,0,94.12,262.2,mobile,US,35
user_01707,control,0,120.88,189.8,desktop,US,22
user_01862,control,0,89.2,229.1,mobile,US,61
user_00247,control,1,101.24,244.9,mobile,US,38
user_00556,control,0,129.16,214.0,mobile,US,23
user_01753,control,0,85.98,271.3,desktop,US,69
user_01365,control,0,94.73,266.3,mobile,UK,32
user_00068,control,0,99.29,219.8,mobile,US,69
user_02518,treatment,0,76.98,205.6,mobile,US,26
user_02184,treatment,1,66.5,265.8,mobile,US,53
user_00533,control,0,111.82,191.7,mobile,UK,52
user_02773,treatment,1,82.89,256.9,mobile,US,42
