user_id,experiment_group,conversion,revenue,session_duration,device,country,age
user_00556,control,0,88.39,279.1,tablet,UK,67
user_03492,treatment,0,66.22,207.7,tablet,US,36
user_00528,control,1,127.64,348.2,mobile,India,25
user_03926,treatment,0,85.71,239.0,desktop,India,58
user_02990,treatment,0,117.15,211.2,desktop,US,66
user_00071,control,0,125.14,349.4,mobile,India,55
user_01757,control,0,103.31,298.8,mobile,India,19
user_00212,control,0,93.25,377.6,desktop,UK,66
user_00197,control,0,63.03,362.8,tablet,India,39
user_00804,control,1,106.15,322.7,tablet,US,51
user_03410,treatment,0,85.21,193.4,tablet,US,28
user_03837,treatment,0,127.61,237.0,desktop,India,60
user_01147,control,0,77.11,354.0,tablet,UK,38
user_01499,control,0,113.98,354.3,mobile,India,61
user_03859,treatment,0,80.39,281.8,tablet,US,26
user_03483,treatment,0,94.39,234.2,tablet,India,64
user_01186,control,0,131.87,248.2,desktop,UK,57
user_00472,control,0,104.67,323.2,desktop,UK,42
user_00595,control,0,114.08,312.5,mobile,US,36
user_00322,control,0,183.88,277.3,tablet,UK,50
user_01418,control,0,79.84,321.7,tablet,UK,60
user_01675,control,0,135.16,291.4,tablet,UK,65
user_03591,treatment,1,68.32,237.2,mobile,US,44
user_01704,control,0,106.8,268.8,tablet,UK,43
user_02541,treatment,0,100.14,250.5,mobile,UK,24
user_00206,control,0,120.37,321.3,desktop,India,65
user_03888,treatment,0,78.79,286.4,tablet,India,31
user_03249,treatment,0,122.21,243.1,tablet,UK,61
user_02132,treatment,0,153.15,231.9,mobile,India,50
user_01256,control,0,103.35,303.6,mobile,US,32
user_02300,treatment,0,54.47,203.8,mobile,UK,55
user_01227,control,0,118.11,333.0,tablet,US,60
user_03919,treatment,0,139.8,226.3,mobile,UK,66
user_02465,treatment,0,65.44,275.6,desktop,US,51
user_02384,treatment,0,77.03,259.7,desktop,US,56
user_00150,control,1,132.8,274.3,tablet,UK,20
user_00870,control,0,100.81,336.2,mobile,India,49
user_01979,control,1,88.1,298.5,tablet,UK,64
user_02457,treatment,0,88.25,241.3,tablet,India,42
user_03866,treatment,0,73.3,247.8,mobile,US,27
user_02213,treatment,0,72.9,277.3,mobile,UK,40
user_01007,control,0,126.44,306.1,mobile,India,36
user_03048,treatment,0,113.79,237.2,tablet,UK,56
user_00706,control,0,91.67,299.3,tablet,India,35
user_03144,treatment,0,63.36,189.0,desktop,India,62
user_03597,treatment,0,106.59,258.9,tablet,US,49
user_01988,control,0,65.92,247.9,desktop,UK,37
user_00180,control,0,121.75,373.4,mobile,US,66
user_00110,control,0,101.34,301.2,desktop,UK,52
user_03079,treatment,1,107.87,270.3,mobile,US,57
user_01056,control,0,76.48,330.9,desktop,US,63
user_03953,treatment,1,110.55,244.8,mobile,UK,42
user_00315,control,1,65.74,273.1,tablet,UK,36
user_01823,control,0,100.89,268.4,tablet,UK,65
user_00568,control,0,116.9,331.0,mobile,India,60
user_00880,control,0,113.87,323.4,tablet,India,42
user_02231,treatment,0,95.45,268.9,desktop,India,55
user_01412,control,0,101.23,324.2,tablet,UK,33
user_03225,treatment,0,113.2,147.0,mobile,US,40
user_03937,treatment,0,73.12,216.5,mobile,India,35
user_03250,treatment,0,56.02,232.5,mobile,India,38
user_00930,control,0,54.98,282.4,desktop,India,46
user_02579,treatment,0,93.16,297.6,tablet,US,68
user_03380,treatment,0,111.43,255.0,tablet,UK,58
user_02293,treatment,0,93.05,273.4,desktop,India,58
user_01503,control,0,71.51,303.0,tablet,India,27
user_03783,treatment,0,70.33,225.8,tablet,US,36
user_00606,control,0,110.5,321.6,mobile,India,53
user_01989,control,0,155.7,303.6,mobile,US,67
user_00015,control,0,102.29,298.6,mobile,India,65
user_01262,control,0,114.93,279.8,desktop,India,39
user_03239,treatment,0,113.64,260.5,mobile,US,28
user_03319,treatment,0,23.57,288.8,desktop,India,48
user_00009,control,0,128.37,367.3,tablet,US,28
user_00890,control,1,117.04,283.9,mobile,UK,63
user_03149,treatment,0,64.46,238.4,mobile,US,48
user_03552,treatment,0,84.02,282.1,desktop,India,66
