user_id,experiment_group,conversion,revenue,date,device,country,age,session_duration
user_07520,treatment,2.0,189.56,2024-09-09,tablet,India,64.0,585
user_00520,treatment,1.0,101.42,2024-10-09,desktop,USA,36.0,550
user_00179,control,1.0,131.06,,mobile,India,48.0,91
user_01077,treatment,0.0,194.76,,desktop,India,65.0,384
user_04274,treatment,2.0,23.68,2024-12-20,tablet,United States,23.0,233
user_02016,control,1.0,16.69,,desktop,US,62.0,164
user_04752,control,0.0,123.97,,desktop,US,25.0,503
user_01228,control,2.0,20.63,,desktop,United States,42.0,0
user_05532,control,0.0,155.45,,android,US,44.0,249
user_01498,trt,1.0,31.96,,iphone,IN,29.0,119
user_06629,treatment,1.0,$170.83,,iphone,US,61.0,-96
user_07254,control,0.0,131.38,,desktop,United Kingdom,49.0,-42
user_06141,control,1.0,169.25,2024-01-04,tablet,IN,21.0,109
user_07649,treatment,1.0,149.8,,android,US,50.0,567
user_08525,control,1.0,85.74,,mobile,USA,59.0,-66
user_04058,control,0.0,88.71,,mobile,United States,55.0,576
user_08169,control,0.0,152.2,,desktop,UK,18.0,204
user_03364,treatment,0.0,69.88,,mobile,UK,61.0,276
user_08806,control,2.0,83.69,,mobile,United Kingdom,40.0,177
user_05278,control,1.0,161.96,,desktop,USA,49.0,-21
user_03463,control,1.0,33.11,2024-12-30,desktop,United States,60.0,428
user_01467,treatment,1.0,69.31,,tablet,USA,10.0,374
user_01027,control,1.0,112.3,2024-01-20,mobile,United States,57.0,542
user_06248,control,0.0,172.27,2024-10-02,mobile,USA,42.0,0
user_07268,trt,0.0,128.57,,android,US,58.0,108
user_08709,treatment,1.0,17.11,2024-05-31,mobile,USA,19.0,30
user_08153,treatment,1.0,106.04,2024-05-24,tablet,India,39.0,348
user_00889,treatment,1.0,172.27,,tablet,USA,63.0,384
user_00490,control,1.0,157.62,,android,US,52.0,389
user_07324,control,0.0,44.95,2024-07-29,android,USA,25.0,-78
user_02175,treatment,1.0,55.34,2024-01-04,desktop,USA,22.0,136
user_01371,control,0.0,-71.96,,mobile,UK,28.0,0
user_06742,control,1.0,140.87,,tablet,USA,22.0,494
user_02011,control,0.0,186.37,,tablet,US,55.0,319
user_00010,control,0.0,84.66,2024-10-04,mobile,United Kingdom,44.0,273
user_03041,treatment,1.0,133.39,2024-02-25,mobile,United States,61.0,327
user_05321,control,1.0,17.23,2024-01-02,desktop,United States,29.0,-68
user_05757,test,0.0,171.47,,android,USA,59.0,470
user_03835,treatment,1.0,187.3,,desktop,United Kingdom,21.0,339
user_00389,control,1.0,120.26,2024-07-07,mobile,United Kingdom,46.0,492
user_00264,control,0.0,18502.28,,tablet,US,50.0,206
user_00466,control,0.0,183.17,2024-02-07,tablet,UK,21.0,114
user_05053,control,0.0,100.57,,desktop,India,46.0,591
user_00925,control,1.0,96.21,,android,UK,42.0,113
user_08058,control,0.0,91.92,,desktop,United Kingdom,63.0,112
user_00638,control,1.0,97.77,,desktop,United States,19.0,501
user_03924,control,1.0,25.88,2024-02-18,desktop,US,50.0,0
user_07090,treatment,1.0,109.98,,mobile,USA,48.0,-31
user_00152,control,1.0,186.52,,tablet,US,65.0,434
user_07498,control,0.0,199.69,,desktop,United States,56.0,509
user_00672,control,1.0,169.46,2024-12-05,android,United Kingdom,59.0,0
user_00615,treatment,0.0,14528.96,,desktop,US,28.0,119
user_00428,treatment,1.0,18.55,2024-08-06,mobile,US,19.0,145
user_02316,treatment,1.0,-64.88,,mobile,US,28.0,-66
user_02756,control,1.0,161.42,,desktop,USA,34.0,0
user_03003,control,1.0,141.2,,mobile,UK,26.0,198
user_07811,treatment,0.0,194.42,,desktop,US,57.0,108
user_00305,control,0.0,"902,20",,desktop,US,65.0,35
user_05719,control,1.0,162.85,,tablet,UK,52.0,411
user_01382,treatment,0.0,106.06,,desktop,USA,29.0,222
user_05528,treatment,1.0,172.27,,desktop,United Kingdom,56.0,574
user_05382,control,1.0,101.87,2024-09-30,tablet,India,23.0,-38
user_00893,control,0.0,11.34,,tablet ,India,36.0,-69
user_04601,control,0.0,172.27,,desktop,USA,42.0,-66
user_04279,control,0.0,187.81,,mobile ,US,30.0,184
user_03721,control,1.0,77.05,2024-11-18,tablet,US,53.0,126
user_00134,treatment,0.0,166.85,,mobile,IN,42.0,265
user_07185,treatment,1.0,23.63,2024-02-24,desktop,United Kingdom,32.0,282
user_00280,treatment,2.0,192.83,,iphone,United States,29.0,427
user_05009,treatment,1.0,30.11,,mobile,US,44.0,380
user_05161,trt,1.0,172.27,,desktop,US,42.0,102
user_03933,control,0.0,31982.98,,mobile,UK,32.0,465
user_06361,control,1.0,92.46,,mobile,US,29.0,176
user_04082,treatment,1.0,-17.75,2024-01-12,mobile,United Kingdom,53.0,55
user_00266,control,0.0,190.53,,desktop,India,41.0,179
user_07248,treatment,1.0,136.22,2024-11-16,iphone,United Kingdom,51.0,-57
user_08901,treatment,0.0,131.71,2024-10-26,desktop,USA,28.0,182
user_05705,test,0.0,137.93,2024-08-12,tablet,India,60.0,493
user_03160,control,0.0,12.26,,android,US,61.0,595
user_02874,treatment,0.0,105.54,2024-11-08,tablet,United Kingdom,52.0,75
user_05540,treatment,1.0,198.65,2024-03-13,desktop,USA,59.0,552
user_07366,treatment,1.0,16.87,,desktop,US,23.0,-33
user_04939,treatment,1.0,68.62,,desktop,USA,53.0,76
user_00892,treatment,1.0,47.86,,tablet,USA,43.0,179
user_07260,treatment,0.0,48.79,,tablet,US,37.0,78
user_07036,control,1.0,"584,62",,mobile ,USA,30.0,0
user_01465,control,1.0,58.32,,mobile ,US,64.0,406
user_03186,treatment,0.0,60.82,,desktop,US,42.0,581
user_04904,treatment,1.0,157.19,,android,US,21.0,43
user_08048,control,1.0,105.08,2024-05-30,android,United States,42.0,574
user_03005,treatment,1.0,142.3,,tablet,United Kingdom,30.0,69
user_07148,control,0.0,177.34,,tablet,US,24.0,516
user_00211,control,2.0,98.64,,desktop,United States,37.0,-84
user_04438,control,1.0,193.94,,android,UK,38.0,0
user_01291,treatment,1.0,162.92,,tablet,United States,50.0,0
user_02489,treatment,1.0,172.27,,tablet,IN,49.0,191
user_02996,control,1.0,106.23,,mobile,USA,55.0,230
user_04641,treatment,1.0,69.58,,desktop,India,47.0,80
user_08039,control,1.0,98.08,,desktop,United Kingdom,46.0,0
user_05209,control,1.0,143.86,2024-07-26,mobile,US,52.0,213
user_08331,control,1.0,172.27,,desktop,US,26.0,190
user_00987,control,1.0,45.79,,desktop,India,10.0,63
user_04367,treatment,0.0,157.23,,iphone,USA,53.0,120
user_04164,control,2.0,94.28,,iphone,IN,46.0,90
user_06279,treatment,1.0,172.27,,mobile,USA,32.0,401
user_00512,treatment,1.0,112.29,2024-04-20,tablet,United Kingdom,34.0,313
user_00364,treatment,1.0,134.53,,mobile,United States,42.0,-22
user_02145,treatment,0.0,100.58,,tablet,UK,53.0,59
user_08099,treatment,1.0,27.19,,mobile,US,39.0,466
user_00160,control,0.0,63.7,,desktop,India,56.0,323
user_06861,treatment,1.0,87.37,,android,UK,64.0,240
user_05141,treatment,0.0,161.35,,desktop,United Kingdom,60.0,0
user_03787,treatment,1.0,122.23,,android,IN,51.0,470
user_03287,control,1.0,182.98,,mobile,USA,61.0,170
user_07309,control,1.0,187.54,,iphone,USA,51.0,416
user_08351,treatment,1.0,150.93,,mobile,IN,41.0,424
user_00522,treatment,0.0,70.85,,mobile,United Kingdom,22.0,405
user_00312,treatment,1.0,172.27,2024-09-07,mobile,IN,21.0,165
user_05268,control,1.0,176.98,,desktop,US,48.0,354
user_01462,treatment,1.0,13.83,,desktop,US,52.0,529
user_04070,control,2.0,108.93,,tablet,US,50.0,0
user_00111,test,1.0,56.05,2024-08-06,mobile,US,58.0,129
user_00694,control,1.0,82.39,,desktop,IN,60.0,0
user_02625,control,1.0,130.44,,mobile,US,42.0,570
user_01415,control,1.0,132.62,2024-11-08,desktop,United States,63.0,348
user_00126,treatment,0.0,75.24,,mobile,India,34.0,280
user_08993,control,0.0,194.85,,mobile,IN,44.0,255
user_05840,trt,0.0,104.85,2024-03-01,mobile,USA,39.0,-63
user_08009,treatment,0.0,153.73,2024-08-02,iphone,US,27.0,74
user_06701,treatment,0.0,158.1,,desktop,US,18.0,70
user_05902,treatment,0.0,57.21,,tablet,USA,20.0,231
user_04060,treatment,0.0,187.79,,tablet,US,23.0,0
user_08073,control,0.0,111.33,,iphone,United Kingdom,18.0,106
user_02600,treatment,1.0,29.98,,mobile,United States,42.0,142
user_04681,control,1.0,161.53,,iphone,US,38.0,74
user_00198,control,1.0,145.61,,mobile,India,42.0,-59
user_00105,trt,1.0,172.27,,desktop,USA,35.0,334
user_03178,treatment,0.0,-61.6,,mobile,US,54.0,319
user_00726,treatment,0.0,-77.24,,desktop,US,49.0,492
user_06882,control,1.0,18.28,,mobile,US,21.0,277
user_02311,treatment,1.0,172.27,,desktop,United Kingdom,37.0,395
user_03376,treatment,1.0,99.06,,desktop,United States,64.0,0
user_02206,control,1.0,148.86,2024-08-03,desktop,US,30.0,169
user_02104,control,1.0,172.27,2024-08-20,desktop,US,21.0,580
user_07859,test,1.0,46.23,,mobile,IN,49.0,417
user_05097,treatment,1.0,54.65,2024-04-15,tablet,United States,40.0,293
user_04078,treatment,0.0,35.71,,desktop,IN,56.0,313
user_00613,control,1.0,170.19,,mobile,India,53.0,109
user_05503,control,0.0,94.12,,mobile,USA,36.0,70
user_05188,treatment,0.0,172.27,2024-03-18,desktop,USA,33.0,174
user_07375,treatment,0.0,193.07,,desktop,USA,18.0,458
user_07933,treatment,1.0,172.27,,mobile,US,31.0,73
user_05051,treatment,1.0,-82.22,,tablet,UK,29.0,0
user_01380,control,0.0,126.93,2024-07-09,tablet,India,64.0,356
user_00532,control,0.0,34.92,,mobile,UK,45.0,124
user_03516,treatment,1.0,136.45,,mobile,USA,35.0,309
user_03585,treatment,1.0,"666,75",,desktop,USA,30.0,0
user_07493,control,0.0,23.27,,mobile,United States,42.0,135
user_06322,control,0.0,136.82,,mobile,UK,40.0,-90
user_00465,test,0.0,120.4,,mobile,IN,22.0,31
user_00534,control,1.0,47.24,,mobile,USA,25.0,66
user_00108,treatment,1.0,63.47,,tablet,USA,22.0,464
user_06464,control,1.0,159.54,2024-10-06,tablet ,US,24.0,217
user_05738,control,1.0,18.73,2024-11-02,tablet,US,33.0,325
user_02761,treatment,1.0,52.29,,tablet,US,20.0,0
user_08668,treatment,1.0,146.44,,tablet,USA,60.0,338
user_00736,control,1.0,181.89,2024-07-17,tablet,India,42.0,0
user_01963,treatment,0.0,169.1,2024-08-31,android,UK,52.0,430
user_02854,treatment,1.0,185.79,,mobile,UK,18.0,554
user_00396,control,1.0,111.6,,tablet,USA,63.0,442
user_06321,treatment,0.0,$10.02,,mobile,United States,46.0,90
user_00204,treatment,0.0,67.79,2024-06-06,android,India,39.0,191
user_00804,control,1.0,76.08,,tablet,UK,36.0,432
user_08375,treatment,1.0,100.74,2024-04-11,mobile,India,53.0,54
user_01435,treatment,1.0,154.1,,iphone,US,21.0,472
user_01003,control,0.0,15.69,,desktop,United Kingdom,49.0,203
user_07749,control,1.0,118.21,2024-03-30,desktop,USA,57.0,186
user_01192,control,0.0,16.32,,iphone,US,41.0,103
user_00184,treatment,1.0,10.45,,tablet,United Kingdom,27.0,349
user_06615,control,1.0,148.57,2024-04-15,desktop,United States,28.0,597
user_07890,treatment,1.0,56.72,,desktop,United Kingdom,47.0,230
user_05374,control,1.0,25.16,,desktop,US,54.0,578
user_01959,control,1.0,148.42,,mobile,US,20.0,579
user_07600,treatment,1.0,172.27,2024-06-17,desktop,India,50.0,31
user_04315,treatment,2.0,73.91,,tablet,US,26.0,297
user_02067,treatment,0.0,172.27,2024-09-01,desktop,US,49.0,0
user_02385,control,1.0,193.4,2024-02-17,android,India,35.0,559
user_08165,treatment,1.0,141.04,,desktop,UK,36.0,96
user_03198,control,0.0,85.23,,desktop,US,38.0,189
user_06497,treatment,0.0,154.51,2024-02-24,android,UK,46.0,468
user_00692,treatment,1.0,67.87,,desktop,India,31.0,524
user_00975,treatment,0.0,172.27,,mobile,United Kingdom,53.0,0
user_02945,control,1.0,168.08,2024-08-18,iphone,India,42.0,390
user_00295,control,1.0,172.27,,mobile,United States,35.0,551
user_06428,treatment,1.0,58.36,2024-06-02,iphone,US,46.0,566
user_00455,control,1.0,130.56,2024-02-19,mobile,United Kingdom,28.0,304
user_02947,treatment,1.0,108.64,2024-11-20,desktop,IN,54.0,325
user_04922,treatment,0.0,74.69,2024-05-20,desktop ,India,33.0,334
user_04951,control,0.0,159.87,2024-04-17,mobile,USA,60.0,-90
user_07357,control,1.0,$144.47,,desktop,USA,24.0,127
user_06655,control,0.0,40.76,,mobile,USA,42.0,375
user_05067,trt,1.0,87.17,,tablet,US,47.0,46
user_08007,treatment,0.0,44.96,,desktop,USA,55.0,54
user_04628,control,0.0,56.5,,iphone,UK,44.0,526
user_00560,trt,0.0,134.69,2024-04-11,mobile,United Kingdom,37.0,253
user_02399,control,0.0,-59.94,,iphone,US,33.0,149
user_04946,trt,1.0,58.13,,mobile,US,30.0,427
user_05953,control,1.0,181.56,,tablet,US,38.0,563
user_04955,treatment,1.0,150.71,,tablet,USA,30.0,368
user_00173,treatment,0.0,76.63,,desktop,India,64.0,599
user_06511,treatment,0.0,166.29,,desktop,UK,36.0,317
user_08878,control,1.0,183.45,,mobile,United States,58.0,176
user_07195,control,0.0,$36.74,,tablet,India,54.0,247
user_08938,control,2.0,56.12,,desktop,United States,28.0,235
user_07789,treatment,0.0,80.13,2024-12-15,mobile,US,45.0,326
user_01664,control,0.0,172.27,,mobile,IN,18.0,101
user_04150,treatment,0.0,"593,36",,desktop,United Kingdom,38.0,394
user_06118,treatment,0.0,192.73,2024-01-13,tablet,IN,7.0,520
user_08342,trt,0.0,139.58,2024-07-31,tablet,USA,44.0,428
